epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,12.99,99.77,435.71,99.95,600690,103,3,1,1,64
1,12.82,98.92,434.0,99.73,600690,103,3,1,1,64
2,12.7,98.18,432.09,99.49,600690,103,3,1,1,64
3,12.55,97.84,429.83,99.2,600690,103,3,1,1,64
4,12.35,95.7,427.05,98.84,600690,103,3,1,1,64
5,12.1,95.47,423.5,98.38,600690,103,3,1,1,64
6,11.74,92.72,419.06,97.79,600690,103,3,1,1,64
7,11.36,88.83,413.52,97.05,600690,103,3,1,1,64
8,10.85,86.63,406.66,96.11,600690,103,3,1,1,64
9,10.3,80.82,398.27,94.95,600690,103,3,1,1,64
10,9.66,85.43,388.02,93.51,600690,103,3,1,1,64
11,9.02,92.44,375.48,91.72,600690,103,3,1,1,64
12,8.5,97.57,360.29,89.5,600690,103,3,1,1,64
13,7.77,96.59,342.13,86.78,600690,103,3,1,1,64
14,6.75,94.68,320.69,83.47,600690,103,3,1,1,64
15,5.56,89.78,295.89,79.46,600690,103,3,1,1,64
16,4.46,80.12,268.22,74.74,600690,103,3,1,1,64
17,3.49,81.93,238.79,69.37,600690,103,3,1,1,64
18,2.4,84.35,209.41,63.58,600690,103,3,1,1,64
19,1.77,88.73,182.46,57.81,600690,103,3,1,1,64
20,2.03,100.02,161.46,52.93,600690,103,3,1,1,64
21,2.09,99.07,149.66,49.99,600690,103,3,1,1,64
22,2.23,113.54,146.9,49.27,600690,103,3,1,1,64
23,1.79,110.51,150.05,50.05,600690,103,3,1,1,64
24,1.33,101.62,155.7,51.45,600690,103,3,1,1,64
25,1.41,92.22,161.69,52.91,600690,103,3,1,1,64
26,1.13,87.92,166.52,54.07,600690,103,3,1,1,64
27,1.15,83.81,169.35,54.75,600690,103,3,1,1,64
28,1.39,76.2,169.96,54.91,600690,103,3,1,1,64
29,1.21,71.31,168.45,54.58,600690,103,3,1,1,64
30,1.17,70.95,165.5,53.9,600690,103,3,1,1,64
31,1.18,62.74,161.59,52.98,600690,103,3,1,1,64
32,1.13,59.36,157.51,52.0,600690,103,3,1,1,64
